id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
260,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Schemas\ColumnEditionContext.tsx,RolesList,Large Component,LOC: 245; Number of props: 10; Number of attributes: 0; Number of methods: 1,,
261,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Schemas\ColumnEditionContext.tsx,RolesList,Large Component,LOC: 245; Number of props: 10; Number of attributes: 0; Number of methods: 1,,
262,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Schemas\SchemaGraph.tsx,SchemaGraph,Large Component,LOC: 349; Number of props: 27; Number of attributes: 0; Number of methods: 3,,
263,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Schemas\SchemaGraph.tsx,SchemaGraph,Too many props,"Number of props: 27; Props: ref,resolvedTheme,data,selectedSchema,setSelectedSchema,table,error,isSuccess,isPending,isError,projectRef,connectionString,schema,includeColumns,can,isSchemaLocked,x,y,zoom,nodes,edges,onEditColumn,content,type,animated,deletable,hideAttribution",,
264,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Schemas\SchemaTableNode.tsx,TableNode,Large Component,LOC: 165; Number of props: 8; Number of attributes: 0; Number of methods: 0,,
265,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Tables\ColumnList.tsx,ColumnList,Large Component,LOC: 185; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
266,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Tables\ColumnList.tsx,ColumnList,Too many props,"Number of props: 17; Props: onAddColumn,onEditColumn,onDeleteColumn,id,ref,data,error,isError,isPending,isSuccess,projectRef,connectionString,isSchemaLocked,schema,can,padding,content",,
267,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Tables\TableList.tsx,TableList,Large Component,LOC: 489; Number of props: 24; Number of attributes: 0; Number of methods: 1,,
268,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Tables\TableList.tsx,TableList,Too many props,"Number of props: 24; Props: onDuplicateTable,onAddTable,onEditTable,onDeleteTable,ref,data,selectedSchema,setSelectedSchema,can,error,isError,isPending,isSuccess,projectRef,connectionString,schema,sortByProperty,includeColumns,isSchemaLocked,content,paddingTop,paddingBottom,tableId,id",,
269,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\EventTriggersList\EventTriggerList.tsx,EventTriggerList,Large Component,LOC: 186; Number of props: 10; Number of attributes: 0; Number of methods: 0,,
270,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\TriggerSheet.tsx,TriggerSheet,Large Component,LOC: 414; Number of props: 29; Number of attributes: 0; Number of methods: 1,,
271,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\TriggerSheet.tsx,TriggerSheet,Too many props,"Number of props: 29; Props: selectedTrigger,isDuplicatingTrigger,open,onClose,data,mutate,isPending,onSuccess,onError,isSuccess,projectRef,connectionString,mode,reValidateMode,resolver,defaultValues,function_name,function_schema,confirmOnClose,handleOpenChange,modalProps,checkIsDirty,tableId,originalTrigger,payload,table,schema,field,shouldDirty",,
272,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\TriggersList\TriggerList.tsx,TriggerList,Large Component,LOC: 222; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
273,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\TriggersList\TriggerList.tsx,TriggerList,Too many props,"Number of props: 17; Props: editTrigger,duplicateTrigger,deleteTrigger,ref,data,openSidebar,can,selectedSchema,isSchemaLocked,schema,projectRef,connectionString,name,initialInput,suggestions,sqlSnippets,content",,
274,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\TriggersList\TriggersList.tsx,TriggersList,Large Component,LOC: 279; Number of props: 26; Number of attributes: 0; Number of methods: 4,,
275,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Database\Triggers\TriggersList\TriggersList.tsx,TriggersList,Too many props,"Number of props: 26; Props: data,openSidebar,selectedSchema,setSelectedSchema,templates,setValue,setTemplates,setInitialPrompt,isSchemaLocked,schema,projectRef,connectionString,error,isPending,isSuccess,isError,can,history,clearOnDefault,mutate,onSuccess,name,trigger,label,value,title",,
276,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\DiskManagement.schema.ts,CreateDiskStorageSchema,Large Component,LOC: 190; Number of props: 11; Number of attributes: 0; Number of methods: 0,,
277,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\DiskManagementForm.tsx,DiskManagementForm,Large Component,LOC: 490; Number of props: 43; Number of attributes: 0; Number of methods: 1,,
278,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\DiskManagementForm.tsx,DiskManagementForm,Too many props,"Number of props: 43; Props: ref,data,setProjectStatus,can,isSuccess,resource,hasAccess,projectRef,refetchInterval,refetchOnWindowFocus,enabled,isWithinCooldownWindow,type,iops,throughput_mbps,size_gb,growth_percent,max_size_gb,min_increment_gb,storageType,provisionedIOPS,throughput,totalSize,computeSize,growthPercent,minIncrementGb,maxSizeGb,resolver,defaultValues,mode,reValidateMode,formState,mutateAsync,isPending,onError,onSuccess,variant,suppressToast,message,opacity,y,duration,delay",,
279,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\DiskManagementReviewAndSubmitDialog.tsx,DiskManagementReviewAndSubmitDialog,Large Component,LOC: 316; Number of props: 30; Number of attributes: 0; Number of methods: 0,,
280,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\DiskManagementReviewAndSubmitDialog.tsx,DiskManagementReviewAndSubmitDialog,Too many props,"Number of props: 30; Props: isDialogOpen,setIsDialogOpen,disabled,form,numReplicas,loading,onSubmit,message,buttonSize,data,formState,getValues,can,resource,projectRef,availableOptions,oldComputeSize,newComputeSize,plan,planId,oldSize,oldStorageType,newSize,newStorageType,oldProvisionedIOPS,newProvisionedIOPS,storageType,newThroughput,oldThroughput,content",,
281,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\AutoScaleFields.tsx,AutoScaleFields,Large Component,LOC: 209; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
282,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\AutoScaleFields.tsx,AutoScaleFields,Too many props,"Number of props: 17; Props: form,ref,control,setValue,formState,totalSize,growthPercent,maxSizeGb,minIncrementGb,error,isPending,isError,projectRef,field,size,shouldDirty,shouldValidate",,
283,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\ComputeSizeField.tsx,ComputeSizeField,Large Component,LOC: 306; Number of props: 24; Number of attributes: 0; Number of methods: 0,,
284,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\ComputeSizeField.tsx,ComputeSizeField,Too many props,"Number of props: 24; Props: form,disabled,ref,data,isPending,hasAccess,isLoading,computeSize,storageType,error,projectRef,control,formState,setValue,trigger,availableOptions,oldComputeSize,newComputeSize,plan,field,shouldDirty,shouldValidate,category,subject",,
285,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\DiskSizeField.tsx,DiskSizeField,Large Component,LOC: 177; Number of props: 27; Number of attributes: 0; Number of methods: 0,,
286,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\DiskSizeField.tsx,DiskSizeField,Too many props,"Number of props: 27; Props: form,disableInput,setAdvancedSettingsOpenState,ref,control,formState,setValue,trigger,getValues,resetField,watch,data,isPending,error,isError,projectRef,enabled,includedDiskGB,planId,oldSize,oldStorageType,newSize,newStorageType,field,size,shouldDirty,shouldValidate",,
287,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\IOPSField.tsx,IOPSField,Large Component,LOC: 109; Number of props: 21; Number of attributes: 0; Number of methods: 0,,
288,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\IOPSField.tsx,IOPSField,Too many props,"Number of props: 21; Props: form,disableInput,ref,control,formState,setValue,trigger,getValues,watch,isPending,error,isError,projectRef,oldStorageType,oldProvisionedIOPS,newStorageType,newProvisionedIOPS,field,size,shouldDirty,shouldValidate",,
289,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\ThroughputField.tsx,ThroughputField,Large Component,LOC: 126; Number of props: 25; Number of attributes: 0; Number of methods: 0,,
290,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\fields\ThroughputField.tsx,ThroughputField,Too many props,"Number of props: 25; Props: form,disableInput,ref,control,formState,setValue,getValues,watch,isPending,error,projectRef,storageType,newThroughput,oldThroughput,minThroughput,maxThroughput,opacity,x,height,duration,overflow,field,size,shouldDirty,shouldValidate",,
291,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\ui\BillingChangeBadge.tsx,BillingChangeBadge,Large Component,LOC: 54; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
292,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\ui\BillingChangeBadge.tsx,BillingChangeBadge,Too many props,"Number of props: 14; Props: beforePrice,afterPrice,show,tooltip,className,free,opacity,x,height,type,stiffness,damping,duration,scale",,
293,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\ui\DiskSpaceBar.tsx,DiskSpaceBar,Large Component,LOC: 228; Number of props: 27; Number of attributes: 0; Number of methods: 0,,
294,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\DiskManagement\ui\DiskSpaceBar.tsx,DiskSpaceBar,Too many props,"Number of props: 27; Props: form,ref,resolvedTheme,formState,watch,data,projectRef,connectionString,availableBytes,totalUsedBytes,totalDiskSizeBytes,dbSizeBytes,walSizeBytes,systemBytes,lineHeight,rotateY,zIndex,duration,transformOrigin,backfaceVisibility,width,backgroundImage,opacity,x,delay,y,left",,
295,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\GeneratingTypes.tsx,GeneratingTypes,Direct DOM Manipulation,"Line 29: let element = document.createElement('a')
Line 30: element.setAttribute('href', 'data:text/plain;charset=utf-8,' + encodeURIComponent(res.types))
Line 31: element.setAttribute('download', 'supabase.ts')
",,
296,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\LangSelector.tsx,LangSelector,Large Component,LOC: 145; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
297,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\LangSelector.tsx,LangSelector,Too many props,"Number of props: 14; Props: selectedLang,selectedApiKey,setSelectedLang,setSelectedApiKey,ref,can,data,isPending,projectRef,reveal,enabled,type,name,key",,
298,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\Pages\UserManagement.tsx,UserManagement,Large Component,LOC: 296; Number of props: 6; Number of attributes: 0; Number of methods: 0,,
299,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\ResourceContent.tsx,ResourceContent,Large Component,LOC: 279; Number of props: 19; Number of attributes: 0; Number of methods: 0,,
300,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\ResourceContent.tsx,ResourceContent,Too many props,"Number of props: 19; Props: resourceId,resources,selectedLang,showApiKey,refreshDocs,ref,realtimeAll,data,projectRef,paths,definitions,id,required,table,column,title,endpoint,apiKey,columnName",,
301,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\RpcContent.tsx,RpcContent,Large Component,LOC: 83; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
302,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Docs\RpcContent.tsx,RpcContent,Too many props,"Number of props: 17; Props: rpcId,rpcs,paths,selectedLang,showApiKey,refreshDocs,ref,data,projectRef,parameters,summary,rpc,rpcName,rpcCamelCase,rpcParams,apiKey,endpoint",,
303,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\ExplainVisualizer\ExplainVisualizer.NodeRow.tsx,ExplainNodeRow,Large Component,LOC: 129; Number of props: 5; Number of attributes: 0; Number of methods: 0,,
304,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionDetails\EdgeFunctionDetails.tsx,EdgeFunctionDetails,Large Component,LOC: 421; Number of props: 33; Number of attributes: 0; Number of methods: 2,,
305,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionDetails\EdgeFunctionDetails.tsx,EdgeFunctionDetails,Too many props,"Number of props: 33; Props: ref,functionSlug,can,data,projectRef,enabled,error,isPending,isError,isSuccess,slug,mutate,onSuccess,resolver,defaultValues,anonKey,publishableKey,managementCommands,selectedFunction,functionUrl,payload,name,verify_jwt,field,showKey,functionName,apiKey,command,description,jsx,comment,base,title",,
306,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionDetails\EdgeFunctionTesterSheet.tsx,EdgeFunctionTesterSheet,Large Component,LOC: 398; Number of props: 33; Number of attributes: 0; Number of methods: 4,,
307,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionDetails\EdgeFunctionTesterSheet.tsx,EdgeFunctionTesterSheet,Too many props,"Number of props: 33; Props: visible,onClose,data,ref,functionSlug,can,projectRef,enabled,serviceKey,mutate,isPending,onSuccess,onError,resolver,defaultValues,method,fields,append,remove,control,name,key,value,message,error,roleDetails,url,body,headers,field,action,properties,groups",,
308,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionSecrets\AddNewSecretForm.tsx,AddNewSecretForm,Large Component,LOC: 240; Number of props: 16; Number of attributes: 0; Number of methods: 8,,
309,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionSecrets\AddNewSecretForm.tsx,AddNewSecretForm,Too many props,"Number of props: 16; Props: ref,resolver,defaultValues,fields,append,remove,control,name,data,projectRef,value,mutate,isPending,onSuccess,secrets,field",,
310,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionSecrets\EdgeFunctionSecrets.tsx,EdgeFunctionSecrets,Large Component,LOC: 193; Number of props: 15; Number of attributes: 0; Number of methods: 0,,
311,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionSecrets\EdgeFunctionSecrets.tsx,EdgeFunctionSecrets,Too many props,"Number of props: 15; Props: ref,can,isLoading,data,error,isPending,isSuccess,isError,projectRef,enabled,history,clearOnDefault,mutate,onSuccess,secrets",,
312,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionSecrets\EditSecretSheet.tsx,EditSecretSheet,Large Component,LOC: 116; Number of props: 17; Number of attributes: 0; Number of methods: 1,,
313,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\EdgeFunctionSecrets\EditSecretSheet.tsx,EditSecretSheet,Too many props,"Number of props: 17; Props: secret,visible,onClose,ref,resolver,mutate,isPending,onSuccess,name,value,projectRef,secrets,confirmOnClose,handleOpenChange,modalProps,checkIsDirty,field",,
314,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\FunctionsEmptyState.tsx,FunctionsEmptyState,Large Component,LOC: 152; Number of props: 10; Number of attributes: 0; Number of methods: 0,,
315,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Functions\FunctionsEmptyState.tsx,FunctionsInstructionsLocal,Large Component,LOC: 168; Number of props: 0; Number of attributes: 0; Number of methods: 0,,
316,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\GraphQL\GraphiQL.tsx,GraphiQLInterface,Large Component,LOC: 418; Number of props: 11; Number of attributes: 0; Number of methods: 0,,
317,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\AdvisorWidget.tsx,AdvisorWidget,Large Component,LOC: 310; Number of props: 15; Number of attributes: 0; Number of methods: 1,,
318,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\AdvisorWidget.tsx,AdvisorWidget,Too many props,"Number of props: 15; Props: ref,data,isPending,projectRef,isLoading,preset,openSidebar,setSelectedItem,name,initialInput,origin,advisorCategory,advisorType,advisorLevel,content",,
319,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\NewProjectPanel\APIKeys.tsx,APIKeys,Large Component,LOC: 199; Number of props: 15; Number of attributes: 0; Number of methods: 0,,
320,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\NewProjectPanel\APIKeys.tsx,APIKeys,Too many props,"Number of props: 15; Props: ref,can,data,error,isError,isPending,projectRef,enabled,anonKey,serviceKey,publishableKey,secretKey,backgroundImage,backgroundSize,backgroundPosition",,
321,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\NewProjectPanel\NewProjectPanel.tsx,NewProjectPanel,Large Component,LOC: 221; Number of props: 4; Number of attributes: 0; Number of methods: 0,,
322,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\ProjectList\ProjectCardStatus.tsx,ProjectCardStatus,Large Component,LOC: 191; Number of props: 4; Number of attributes: 0; Number of methods: 2,,
323,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\ProjectList\ProjectList.tsx,ProjectList,Large Component,LOC: 273; Number of props: 26; Number of attributes: 0; Number of methods: 0,,
324,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\ProjectList\ProjectList.tsx,ProjectList,Too many props,"Number of props: 26; Props: organization,rewriteHref,slug,data,error,isLoading,isSuccess,isError,isFetchingNextPage,hasNextPage,fetchNextPage,sort,search,statuses,placeholderData,isPending,orgSlug,organizationId,id,added_by,foreign_project_id,supabase_project_ref,organization_integration_id,inserted_at,updated_at,metadata",,
325,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\ProjectList\ProjectTableRow.tsx,ProjectTableRow,Large Component,LOC: 155; Number of props: 8; Number of attributes: 0; Number of methods: 1,,
326,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\ProjectUsage.tsx,ProjectUsage,Large Component,LOC: 193; Number of props: 15; Number of attributes: 0; Number of methods: 1,,
327,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Home\ProjectUsage.tsx,ProjectUsage,Too many props,"Number of props: 15; Props: ref,data,projectAuthAll,projectStorageAll,getEntitlementMax,isPending,projectRef,interval,timestampKey,valueKey,defaultValue,startDate,endDate,minPointsToFill,product",,
328,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\HomePageActions.tsx,ServiceStatus,Large Component,LOC: 296; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
329,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\HomePageActions.tsx,ServiceStatus,Too many props,"Number of props: 17; Props: ref,data,projectAuthAll,projectEdgeFunctionAll,realtimeAll,projectStorageAll,isPending,projectRef,enabled,refetchInterval,refetch,name,error,docsUrl,isLoading,status,logsUrl",,
330,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\HomePageActions.tsx,ServiceStatus,Large Component,LOC: 296; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
331,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\HomePageActions.tsx,ServiceStatus,Too many props,"Number of props: 17; Props: ref,data,projectAuthAll,projectEdgeFunctionAll,realtimeAll,projectStorageAll,isPending,projectRef,enabled,refetchInterval,refetch,name,error,docsUrl,isLoading,status,logsUrl",,
332,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\CronJobPage.tsx,CronJobPage,Large Component,LOC: 154; Number of props: 8; Number of attributes: 0; Number of methods: 0,,
333,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\CronJobsTab.tsx,CronjobsTab,Large Component,LOC: 166; Number of props: 15; Number of attributes: 0; Number of methods: 6,,
334,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\CronJobsTab.tsx,CronjobsTab,Too many props,"Number of props: 15; Props: ref,data,grid,count,projectRef,connectionString,searchQuery,clearOnDefault,mutate,onSelectEdit,onSelectDelete,action,groups,jobid,jobname",,
335,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\CronJobTableCell.tsx,CronJobTableCell,Large Component,LOC: 267; Number of props: 19; Number of attributes: 0; Number of methods: 2,,
336,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\CronJobTableCell.tsx,CronJobTableCell,Too many props,"Number of props: 19; Props: col,row,onSelectEdit,onSelectDelete,data,jobid,schedule,latest_run,status,active,jobname,mutate,isPending,onSuccess,projectRef,connectionString,jobId,searchTerm,onClick",,
337,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\EdgeFunctionSection.tsx,EdgeFunctionSection,Large Component,LOC: 159; Number of props: 8; Number of attributes: 0; Number of methods: 0,,
338,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\HttpHeaderFieldsSection.tsx,HTTPHeaderFieldsSection,Large Component,LOC: 126; Number of props: 15; Number of attributes: 0; Number of methods: 0,,
339,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\CronJobs\HttpHeaderFieldsSection.tsx,HTTPHeaderFieldsSection,Too many props,"Number of props: 15; Props: variant,fields,append,remove,name,ref,can,data,projectRef,reveal,enabled,serviceKey,secretKey,field,value",,
340,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\DataApi\DocView.tsx,DocView,Large Component,LOC: 51; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
341,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Integrations\DataApi\DocView.tsx,DocView,Too many props,"Number of props: 14; Props: selectedLang,selectedApiKey,ref,page,resource,rpc,data,error,projectRef,isPending,refetch,paths,resources,rpcs",,
